"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A1,A2","2","Conn_01x04_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"A3,A4","2","Conn_01x01_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"ALM1","1","Conn_01x04_Pin","","","","Connector_JST:JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical","~"
"C1,C2","2","100uF/35V","","","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
"D1,D2,D3,D4","4","D","","","","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","~"
"D5","1","D_Schottky","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","~"
"DR1,DR2","2","Pololu_Breakout","","","","Custom:Pololu_Breakout-16_15.2x20.3mm_Better_Silkscreen",""
"J6,J8","2","Conn_01x20","","","","Connector_PinSocket_2.54mm:PinSocket_1x20_P2.54mm_Vertical","~"
"J7","1","Conn_01x03","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~"
"JP1,JP3,JP5,JP6,JP7,JP9","6","Conn_01x03_Pin","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~"
"JP2,JP4,JP8,JP10","4","Conn_01x02_Pin","","","","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~"
"MF1,MF2","2","NMOS","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_MOSFETs"
"MOT1,MOT2,S1,S2","4","Conn_01x04_Pin","","","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~"
"Pico0","1","RaspberryPi_Pico","","","","Module:RaspberryPi_Pico_Common_Unspecified","https://datasheets.raspberrypi.com/pico/pico-datasheet.pdf"
"R1","1","1k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R2,R4","2","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R3,R5","2","330","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
